,Mar 2015,Mar 2016,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Debtor Days,120,156,105,97,85,71,92,97,69,73
Inventory Days,,,,,,,,,,
Days Payable,,,,,,,,,,
Cash Conversion Cycle,120,156,105,97,85,71,92,97,69,73
Working Capital Days,57,93,29,-12,7,-7,314,325,329,173
ROCE %,,-63%,,-53%,-36%,-9%,-21%,-8%,2%,6%
