,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Sep 2024
Equity Capital,26,35,35,35,35,36
Reserves,"1,056","1,592","1,896","2,219","2,859","3,122"
Borrowings +,"1,287","1,428","3,549","5,413","6,746","7,834"
Other Liabilities +,"2,841","4,397","5,119","5,048","10,747","11,623"
Total Liabilities,"5,211","7,451","10,598","12,716","20,387","22,614"
Fixed Assets +,108,162,219,284,290,332
CWIP,4,22,18,25,8,0
Investments,665,25,70,170,170,210
Other Assets +,"4,434","7,242","10,292","12,237","19,920","22,072"
Total Assets,"5,211","7,451","10,598","12,716","20,387","22,614"
