,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Sep 2024
Equity Capital,197,197,197,197,197,197,197,197,197,197,197,197,197
Reserves,"2,588","2,898","3,151","3,277","3,831","4,491","5,329","5,527","6,857","7,958","9,075","10,339","11,110"
Borrowings +,0,0,0,0,0,0,0,0,80,95,63,38,128
Other Liabilities +,446,468,397,285,350,585,670,782,812,648,814,847,722
Total Liabilities,"3,232","3,564","3,745","3,759","4,378","5,273","6,197","6,507","7,946","8,898","10,148","11,421","12,158"
Fixed Assets +,"1,377","1,373","1,179",845,"1,225","1,153","1,112","1,145",946,"1,791","1,729","1,707","1,776"
CWIP,3,2,2,1,2,49,13,66,146,244,131,145,2
Investments,244,472,506,636,"1,148","2,147","2,801","2,692","3,504","3,589","5,512","7,061","8,072"
Other Assets +,"1,609","1,717","2,058","2,278","2,004","1,923","2,271","2,603","3,351","3,274","2,775","2,508","2,309"
Total Assets,"3,232","3,564","3,745","3,759","4,378","5,273","6,197","6,507","7,946","8,898","10,148","11,421","12,158"
