,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,89.97%,89.97%,89.97%,75.15%,75.15%,71.65%,71.64%,71.64%
FIIs +,0.00%,0.29%,0.00%,0.91%,4.37%,9.07%,12.42%,12.08%
DIIs +,8.51%,8.40%,8.76%,20.31%,17.00%,13.93%,9.58%,8.26%
Government +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.04%
Public +,1.52%,1.34%,1.26%,3.63%,3.48%,5.34%,6.36%,7.97%
No. of Shareholders,"1,87,070","1,48,847","1,36,325","2,11,819","2,18,116","3,58,317","7,14,091","13,52,377"
