,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,"-2,772","1,852","1,628",463,929,"-1,323",-470,"-2,411"
Cash from Investing Activity +,"1,073","-2,133","-3,361","4,128","-1,128",788,"-1,574","-1,068"
Cash from Financing Activity +,"1,263",-80,"2,290","-4,836",251,556,"1,978","3,773"
Net Cash Flow,-437,-362,557,-245,52,21,-67,295
