,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Debtor Days,32,36,31,33,15,12,13
Inventory Days,175,162,182,227,119,143,162
Days Payable,112,97,104,123,68,80,71
Cash Conversion Cycle,95,101,109,138,65,76,105
Working Capital Days,120,100,100,94,53,65,58
ROCE %,,-10%,4%,-0%,-10%,-4%,-0%
