,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Cash from Operating Activity +,52,177,243,253,351,470,483
Cash from Investing Activity +,-279,-163,-96,-88,56,-232,-110
Cash from Financing Activity +,224,-13,-141,-166,-410,-232,-362
Net Cash Flow,-3,1,7,-2,-3,6,12
