,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,75.00%,75.21%,72.86%,72.86%,72.86%,72.86%,72.86%,67.91%
FIIs +,3.46%,2.99%,2.07%,2.17%,2.73%,6.28%,5.23%,2.88%
DIIs +,11.11%,9.77%,13.07%,7.36%,4.29%,3.78%,2.45%,6.82%
Public +,10.43%,12.03%,12.00%,17.60%,20.12%,17.07%,19.47%,22.39%
No. of Shareholders,"1,69,329","1,68,507","1,54,780","1,68,284","1,71,090","1,69,264","3,96,327","10,11,970"
