,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,68.38%,62.60%,59.89%,59.89%,56.92%,55.02%
FIIs +,7.54%,17.28%,15.40%,11.43%,14.79%,16.09%
DIIs +,11.40%,6.93%,6.37%,11.95%,14.72%,15.31%
Public +,12.69%,13.19%,18.33%,16.68%,13.50%,13.47%
Others +,0.00%,0.00%,0.00%,0.06%,0.07%,0.10%
No. of Shareholders,"27,551","88,416","3,66,185","3,64,615","3,08,470","2,76,042"
