,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"3,445","2,676","1,765","1,774","3,255","1,617","1,750","2,931","4,018","2,846","2,626","4,083","4,224"
Expenses +,"2,539","2,210","1,343","1,370","2,487","1,289","1,338","2,055","2,972","2,090","1,922","2,777","3,004"
Operating Profit,906,466,422,404,769,328,412,876,"1,046",756,704,"1,306","1,220"
OPM %,26%,17%,24%,23%,24%,20%,24%,30%,26%,27%,27%,32%,29%
Other Income +,37,0,"-1,182",129,16,54,6,-77,65,72,59,64,196
Interest,122,119,125,118,117,124,123,117,116,117,136,144,152
Depreciation,19,20,22,22,30,24,29,33,117,60,66,67,78
Profit before tax,802,327,-906,393,638,235,265,649,878,651,560,"1,158","1,186"
Tax %,33%,17%,3%,-3%,-17%,24%,24%,22%,24%,27%,24%,18%,22%
Net Profit +,538,271,-933,405,746,179,203,505,667,476,423,945,923
EPS in Rs,5.56,2.81,-9.69,4.20,7.73,1.85,2.09,5.22,6.69,4.78,4.25,9.47,9.24
Raw PDF,,,,,,,,,,,,,
