,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,74.99%,74.99%,74.99%,74.99%,74.99%,74.99%,74.99%,74.99%,74.98%
FIIs +,7.28%,6.18%,4.65%,3.93%,3.73%,3.55%,3.88%,4.72%,5.30%
DIIs +,7.31%,9.42%,10.71%,12.01%,12.86%,13.20%,12.82%,11.61%,10.10%
Public +,10.42%,9.41%,9.65%,9.07%,8.42%,8.26%,8.31%,8.68%,9.61%
No. of Shareholders,"42,331","43,330","52,375","52,152","58,033","76,909","83,761","1,14,008","1,63,270"
