,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,616,600,328,259,"1,011","1,176","1,797","1,803","2,100"
Cash from Investing Activity +,"-1,052","-1,098",-495,-393,"-1,637",-801,-883,"-4,202","-1,697"
Cash from Financing Activity +,387,540,140,241,620,3,-825,"2,504",-521
Net Cash Flow,-49,41,-27,107,-6,377,90,105,-118
