,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Debtor Days,85,88,114,108,94,102,118,89,73,68,67
Inventory Days,109,95,114,97,95,103,102,96,79,84,86
Days Payable,119,97,110,110,139,139,99,68,54,63,39
Cash Conversion Cycle,75,86,119,95,49,66,121,117,99,89,115
Working Capital Days,70,71,103,92,52,81,118,102,87,77,96
ROCE %,,28%,23%,23%,29%,28%,21%,24%,26%,27%,21%
