,Dec 2022,Dec 2023,Dec 2024
Cash from Operating Activity +,194,297,393
Cash from Investing Activity +,-43,-66,"-1,641"
Cash from Financing Activity +,-154,-149,"1,188"
Net Cash Flow,-2,83,-60
