,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,11,-77,-210,-309,689,643,"-1,199",558,804,-330,"-1,860"
Cash from Investing Activity +,-7,-13,-50,47,-6,-28,25,-52,-185,-91,-341
Cash from Financing Activity +,2,40,350,239,-361,-449,894,-165,-908,"1,331","1,917"
Net Cash Flow,5,-51,91,-23,323,166,-280,340,-289,910,-284
