,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,68.58%,68.42%,68.08%,66.21%,65.24%,63.04%
FIIs +,4.89%,6.38%,5.75%,9.78%,11.96%,11.11%
DIIs +,13.23%,9.91%,9.18%,9.34%,7.23%,10.95%
Public +,13.30%,15.29%,16.98%,14.67%,15.58%,14.90%
No. of Shareholders,"1,05,004","1,36,308","3,23,697","3,14,107","4,23,787","4,27,928"
