,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Promoters +,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,67.49%,67.49%,63.16%,63.16%
FIIs +,0.94%,1.23%,1.27%,1.32%,1.27%,1.79%,2.01%,2.24%,3.74%,4.12%,5.11%,5.57%
DIIs +,16.23%,15.80%,16.12%,16.05%,16.13%,15.90%,15.78%,15.77%,21.20%,21.03%,23.85%,23.32%
Public +,7.83%,7.96%,7.62%,7.63%,7.58%,7.31%,7.21%,6.99%,7.59%,7.36%,7.87%,7.95%
No. of Shareholders,"22,392","27,560","26,206","25,387","24,395","24,375","25,289","24,094","29,457","28,862","34,269","33,904"
