,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Debtor Days,90,48,31,46,50,52,34,17
Inventory Days,98,70,65,139,67,122,216,323
Days Payable,83,84,85,130,38,71,98,86
Cash Conversion Cycle,104,34,10,54,79,103,152,255
Working Capital Days,-114,-27,9,-5,-92,-399,-163,-49
ROCE %,,22%,25%,20%,17%,8%,21%,20%
