,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Cash from Operating Activity +,-252,-885,"-1,507",-633
Cash from Investing Activity +,549,"-1,322",-319,"-1,136"
Cash from Financing Activity +,3,"3,085",659,"1,590"
Net Cash Flow,300,878,"-1,167",-179
