,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,99.00%,99.00%,99.06%,99.06%,99.03%,99.03%,99.03%,99.03%,99.03%
FIIs +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.02%
DIIs +,0.93%,0.68%,0.51%,0.46%,0.15%,0.13%,0.13%,0.09%,0.07%
Public +,0.07%,0.32%,0.44%,0.48%,0.82%,0.83%,0.84%,0.86%,0.88%
No. of Shareholders,"1,050","8,344","10,176","9,730","14,447","18,205","19,131","29,345","37,419"
