,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Promoters +,72.24%,72.24%,72.24%,72.01%,72.01%,64.64%,52.87%,52.87%,48.27%,48.27%,48.27%,48.27%
FIIs +,2.20%,2.51%,2.20%,1.89%,2.57%,3.48%,9.49%,9.47%,13.37%,15.82%,15.26%,15.68%
DIIs +,0.00%,0.00%,0.00%,0.00%,0.09%,6.54%,9.88%,10.16%,9.75%,9.09%,9.80%,9.44%
Public +,25.56%,25.26%,25.56%,26.10%,25.33%,25.34%,27.76%,27.49%,28.62%,26.83%,26.68%,26.61%
No. of Shareholders,"59,737","54,834","54,141","53,212","53,906","70,512","87,902","1,17,484","2,26,975","3,27,516","3,87,105","3,80,249"
