,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Debtor Days,113,119,94,96,101,99,102,113,108,89,81,77
Inventory Days,69,76,51,41,45,51,44,51,44,41,32,30
Days Payable,261,288,283,301,349,340,336,401,378,302,255,208
Cash Conversion Cycle,-78,-92,-138,-164,-203,-190,-190,-236,-227,-172,-143,-101
Working Capital Days,88,78,98,98,104,99,114,103,72,65,31,133
ROCE %,12%,10%,11%,11%,14%,13%,12%,10%,10%,12%,13%,14%
