,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Debtor Days,66,105,149,98,57,68,98
Inventory Days,393,587,888,551,543,469,378
Days Payable,168,255,406,257,273,201,172
Cash Conversion Cycle,292,437,632,392,327,336,304
Working Capital Days,164,224,275,252,230,241,282
ROCE %,,-2%,-0%,5%,8%,21%,24%
