,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,55,117,57,171,245,193
Cash from Investing Activity +,-58,-114,-232,-123,-199,-131
Cash from Financing Activity +,-26,-9,169,-5,-54,-56
Net Cash Flow,-29,-6,-5,43,-8,7
