,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,74.09%,73.82%,73.50%,73.42%,73.26%,73.11%,72.98%,72.75%,72.59%
FIIs +,14.60%,14.89%,13.84%,13.47%,10.61%,7.98%,7.44%,6.13%,8.74%
DIIs +,3.54%,4.13%,5.43%,6.27%,8.01%,9.30%,8.53%,10.26%,8.69%
Government +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.01%
Public +,7.77%,7.16%,7.22%,6.83%,8.11%,9.61%,11.06%,10.85%,9.97%
No. of Shareholders,"22,548","20,597","25,595","27,173","48,571","99,008","1,15,980","1,10,913","1,25,986"
