,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,149,155,253,143,445,533,693,775
Cash from Investing Activity +,-138,204,-954,-156,-352,-562,-471,"-1,765"
Cash from Financing Activity +,-13,-346,767,-67,-64,19,-175,"1,944"
Net Cash Flow,-2,13,66,-80,29,-10,47,953
