,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Debtor Days,35,35,42,34,26,33,19
Inventory Days,179,205,263,287,277,262,282
Days Payable,223,198,307,335,253,241,258
Cash Conversion Cycle,-9,42,-1,-13,50,55,43
Working Capital Days,-13,16,7,3,25,42,120
ROCE %,,9%,-5%,3%,5%,0%,-2%
