,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,85.44%,85.44%,85.44%,85.44%,85.44%,85.44%,85.44%,85.44%
FIIs +,0.13%,0.09%,0.11%,0.03%,0.58%,0.65%,0.81%,0.91%
DIIs +,13.43%,13.50%,13.42%,13.19%,12.42%,11.93%,11.76%,11.20%
Public +,1.00%,0.98%,1.04%,1.34%,1.56%,1.98%,1.98%,2.45%
No. of Shareholders,"1,00,102","97,581","1,01,204","1,18,684","1,28,201","1,32,202","1,41,734","1,62,144"
