,Dec 2012,Dec 2013,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Cash from Operating Activity +,184,182,119,204,257,160,345,582,461,212,629,453
Cash from Investing Activity +,-128,-118,-66,-114,-229,-112,-278,-189,-53,93,439,40
Cash from Financing Activity +,-46,-46,-50,-52,-56,-56,-63,-436,-369,-341,"-1,011",-518
Net Cash Flow,11,18,2,37,-28,-7,4,-43,39,-37,57,-24
