,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Debtor Days,5,6,6,6,4,5,4,4,5,3
Inventory Days,45,39,48,52,57,66,52,52,45,35
Days Payable,127,129,139,128,129,171,119,98,130,105
Cash Conversion Cycle,-77,-85,-84,-70,-68,-100,-64,-42,-79,-66
Working Capital Days,-31,-67,-51,-46,-60,-63,-6,-25,-29,-28
ROCE %,,-19%,15%,7%,6%,2%,16%,18%,9%,6%
