,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,87.40%,67.40%,67.40%,62.40%,62.40%,62.40%
FIIs +,1.70%,8.17%,6.42%,6.53%,8.08%,7.37%
DIIs +,2.25%,10.34%,5.22%,10.06%,12.72%,13.89%
Public +,8.65%,14.10%,20.96%,21.01%,16.79%,16.35%
No. of Shareholders,"3,40,161","5,62,836","21,85,504","21,28,348","19,10,307","19,94,642"
