,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,54.26%,54.28%,55.97%,55.90%,55.86%,55.84%,55.84%
FIIs +,16.89%,15.29%,13.46%,12.63%,12.87%,11.37%,8.29%
DIIs +,4.39%,5.49%,4.96%,7.07%,8.53%,12.62%,16.43%
Government +,0.07%,0.07%,0.07%,0.07%,0.13%,0.13%,0.13%
Public +,23.22%,24.87%,25.53%,24.33%,22.59%,20.03%,19.29%
Others +,1.17%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
No. of Shareholders,"36,197","40,850","31,529","62,647","57,072","61,204","86,250"
