,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Debtor Days,30,38,48,51,37,35,36,26,21,21,33,31
Inventory Days,363,280,341,314,273,242,270,253,342,240,209,215
Days Payable,93,123,133,140,130,111,143,154,199,174,211,199
Cash Conversion Cycle,300,195,256,225,179,165,163,125,165,87,31,48
Working Capital Days,19,18,-16,-8,-5,-4,23,-11,-11,-23,-34,-43
ROCE %,,10%,16%,18%,16%,13%,12%,15%,9%,6%,8%,5%
