,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,"2,428","2,428","2,370","4,739","9,479","9,181","9,181","9,181","9,181","13,772","13,772","13,772"
Reserves,"65,485","66,404","87,610","97,357","104,395","103,288","86,217","102,657","124,354","125,949","169,645","172,716"
Borrowings +,"94,916","64,893","58,552","63,271","65,650","96,765","129,790","116,649","132,020","148,977","132,628","152,271"
Other Liabilities +,"103,124","100,158","83,184","108,352","116,336","126,128","104,773","126,658","145,327","153,298","166,639","168,109"
Total Liabilities,"265,953","233,883","231,715","273,719","295,860","335,363","329,962","355,145","410,882","441,995","482,683","506,867"
Fixed Assets +,"72,554","76,781","100,033","115,958","124,053","132,494","147,022","157,085","160,514","180,048","195,998","205,323"
CWIP,"38,061","40,378","26,219","16,778","19,130","28,281","32,845","36,291","47,469","51,133","61,032","73,740"
Investments,"15,895","16,069","31,185","43,687","44,806","44,112","35,571","44,717","52,352","52,190","65,542","67,218"
Other Assets +,"139,443","100,655","74,278","97,295","107,871","130,476","114,524","117,053","150,546","158,624","160,111","160,585"
Total Assets,"265,953","233,883","231,715","273,719","295,860","335,363","329,962","355,145","410,882","441,995","482,683","506,867"
