,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Promoters +,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%
FIIs +,4.13%,4.26%,4.40%,3.72%,3.64%,3.56%,3.56%,3.64%,3.77%,4.07%,4.01%,3.78%
DIIs +,6.37%,6.90%,6.90%,7.93%,8.34%,8.45%,8.52%,8.44%,8.27%,8.13%,8.16%,8.08%
Public +,14.50%,13.83%,13.70%,13.35%,13.02%,12.98%,12.92%,12.92%,12.95%,12.80%,12.84%,13.13%
No. of Shareholders,"38,282","37,219","37,541","29,884","28,054","28,077","27,610","29,198","29,243","30,045","32,147","34,425"
