,Mar 2006,Mar 2007,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,19,19,27,27,27,27,27,27,27,27,27,27
Reserves,124,166,951,"1,018","1,130","1,309","1,516","1,766","2,000","2,181","2,413","2,727"
Borrowings +,342,690,960,799,592,337,400,288,202,754,818,750
Other Liabilities +,85,133,390,392,498,581,540,543,555,762,846,"1,135"
Total Liabilities,570,"1,007","2,327","2,235","2,247","2,253","2,483","2,624","2,784","3,724","4,104","4,639"
Fixed Assets +,257,285,729,704,685,714,743,810,821,"1,234","1,700","1,811"
CWIP,4,44,2,2,20,16,18,38,30,327,54,23
Investments,2,10,220,220,220,176,178,184,175,191,198,198
Other Assets +,306,668,"1,376","1,309","1,321","1,347","1,543","1,592","1,757","1,971","2,152","2,607"
Total Assets,570,"1,007","2,327","2,235","2,247","2,253","2,483","2,624","2,784","3,724","4,104","4,639"
