,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,79.56%,89.74%,92.52%,95.84%,95.84%,96.38%,96.38%,96.38%,94.61%
FIIs +,0.81%,0.54%,0.27%,0.18%,0.07%,0.08%,0.14%,0.05%,0.22%
DIIs +,12.83%,5.99%,3.18%,1.66%,1.59%,1.31%,1.35%,1.29%,2.59%
Public +,6.80%,3.73%,4.04%,2.32%,2.50%,2.23%,2.11%,2.28%,2.58%
No. of Shareholders,"2,54,376","2,50,816","2,71,947","2,73,860","3,78,586","4,73,897","5,09,599","10,06,185","9,77,863"
