,Mar 2023,Mar 2024,Mar 2025
Promoters +,34.78%,35.02%,34.94%
FIIs +,39.28%,30.58%,31.49%
DIIs +,4.98%,12.12%,14.78%
Public +,20.57%,21.89%,18.42%
Others +,0.39%,0.37%,0.34%
No. of Shareholders,"2,41,359","2,97,996","4,32,843"
