,Dec 2013,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Mar 2023,Mar 2024,Mar 2025
Debtor Days,13,13,15,18,18,21,15,12,10,14,15,20
Inventory Days,231,233,235,278,261,263,153,131,162,109,117,85
Days Payable,132,139,173,286,337,301,198,207,243,110,121,73
Cash Conversion Cycle,112,106,77,10,-58,-17,-30,-64,-70,13,12,32
Working Capital Days,-59,-54,-53,-64,-51,-28,-42,-62,-71,37,21,33
ROCE %,17%,15%,12%,11%,16%,16%,19%,16%,19%,9%,17%,18%
