,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Debtor Days,80,68,58,60,63
Inventory Days,109,110,98,90,106
Days Payable,135,83,86,94,80
Cash Conversion Cycle,54,96,69,56,88
Working Capital Days,61,87,60,48,70
ROCE %,,31%,34%,29%,29%
