,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,18,18,18,19,19,19,19,19,19,19,41,41
Reserves,443,438,612,738,774,854,763,866,998,"1,311","2,569","3,024"
Borrowings +,512,398,365,221,376,348,520,510,554,662,243,381
Other Liabilities +,"1,363","1,322","1,530","1,672","2,068","2,130","2,137","2,154","2,741","3,455","3,758","4,811"
Total Liabilities,"2,336","2,175","2,525","2,650","3,236","3,351","3,439","3,549","4,313","5,447","6,611","8,258"
Fixed Assets +,255,257,259,356,392,400,444,384,433,859,"1,165","1,586"
CWIP,15,22,16,34,25,41,67,72,152,83,127,73
Investments,33,36,242,11,13,15,17,295,162,148,267,432
Other Assets +,"2,032","1,860","2,007","2,250","2,806","2,895","2,911","2,799","3,565","4,357","5,053","6,167"
Total Assets,"2,336","2,175","2,525","2,650","3,236","3,351","3,439","3,549","4,313","5,447","6,611","8,258"
