,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Promoters +,75.97%,75.97%,75.37%,75.21%,75.18%,75.10%,75.10%,74.98%,74.98%,74.92%
FIIs +,3.71%,3.45%,5.46%,7.02%,6.89%,7.66%,7.51%,7.48%,7.70%,7.33%
DIIs +,9.90%,10.57%,12.42%,13.55%,13.96%,13.51%,13.32%,12.78%,11.96%,12.21%
Public +,10.42%,10.03%,6.74%,4.22%,3.99%,3.72%,4.06%,4.76%,5.38%,5.57%
No. of Shareholders,"92,561","83,142","75,172","85,411","86,930","85,927","92,097","1,09,780","1,42,514","1,44,000"
