,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,81.61%,87.01%,87.74%,92.49%,93.33%,90.97%,90.97%,86.46%,79.60%
FIIs +,0.25%,0.10%,0.15%,0.13%,0.08%,0.13%,0.26%,1.04%,1.72%
DIIs +,13.11%,9.17%,8.48%,3.98%,3.00%,3.74%,3.33%,4.68%,10.67%
Public +,5.02%,3.72%,3.63%,3.41%,3.59%,5.17%,5.44%,7.80%,8.00%
No. of Shareholders,"1,72,869","1,83,512","1,86,358","1,95,743","2,94,166","3,74,458","4,41,517","8,46,746","10,06,265"
