,Sep 2024,Dec 2024,Mar 2025
FIIs +,9.07%,9.62%,7.94%
DIIs +,16.83%,16.65%,18.08%
Public +,66.30%,65.96%,66.38%
Others +,7.80%,7.75%,7.60%
No. of Shareholders,"1,30,419","1,17,746","1,15,602"
