,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Debtor Days,46,66,2,7,10,9
Inventory Days,,,,,,
Days Payable,,,,,,
Cash Conversion Cycle,46,66,2,7,10,9
Working Capital Days,781,"2,003",109,190,417,171
ROCE %,,-2%,-7%,1%,2%,8%
