,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Debtor Days,314,194,309,401,537,867,853
Inventory Days,,,,,,,
Days Payable,,,,,,,
Cash Conversion Cycle,314,194,309,401,537,867,853
Working Capital Days,-124,-32,-382,-230,-135,-111,-56
ROCE %,,42%,1%,18%,53%,43%,26%
