,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,62.84%,63.14%,63.76%,63.02%,65.90%,69.41%,65.75%,65.69%,63.44%
FIIs +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.19%,0.68%,2.10%
DIIs +,0.01%,0.00%,0.00%,0.01%,0.01%,0.00%,0.00%,0.06%,1.93%
Public +,37.15%,36.85%,36.24%,35.82%,33.56%,30.56%,34.05%,33.51%,32.49%
Others +,0.00%,0.00%,0.00%,1.15%,0.53%,0.03%,0.00%,0.04%,0.03%
No. of Shareholders,"12,891","11,678","11,982","11,610","12,679","19,082","21,745","33,891","1,20,648"
