,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Debtor Days,7,9,4,2,1
Inventory Days,,,,,
Days Payable,,,,,
Cash Conversion Cycle,7,9,4,2,1
Working Capital Days,-45,-27,-38,-50,54
ROCE %,,37%,50%,46%,61%
