,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Promoters +,76.48%,75.89%,75.74%,75.61%
FIIs +,4.18%,4.32%,4.30%,5.32%
DIIs +,8.50%,9.46%,9.27%,8.58%
Public +,10.86%,10.33%,10.69%,10.51%
No. of Shareholders,"2,39,696","2,20,338","2,19,626","2,09,369"
