,Dec 2022,Dec 2023,Dec 2024
Sales +,491,639,"1,053"
Expenses +,156,188,453
Operating Profit,335,450,600
OPM %,68%,71%,57%
Other Income +,8,10,35
Interest,3,3,8
Depreciation,12,13,41
Profit before tax,329,444,585
Tax %,27%,27%,27%
Net Profit +,242,325,427
EPS in Rs,,,9.89
Dividend Payout %,0%,0%,25%
