,Mar 2016,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,228,63,166,175,242,311,645,612,624
Cash from Investing Activity +,-241,-69,-249,-87,-239,-421,-342,-441,-721
Cash from Financing Activity +,-7,9,97,-1,-81,160,346,-514,-97
Net Cash Flow,-20,3,14,87,-78,50,648,-343,-194
