,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,74.27%,74.20%,74.16%,71.88%
FIIs +,3.38%,2.80%,2.68%,3.46%
DIIs +,4.58%,5.29%,6.02%,7.36%
Public +,17.77%,17.72%,17.13%,17.30%
No. of Shareholders,"74,794","67,785","62,653","67,176"
