,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,52.96%,52.96%,52.96%,52.96%,52.96%,52.96%,50.16%,50.16%,50.16%
FIIs +,6.79%,6.19%,11.14%,9.24%,5.33%,6.66%,5.85%,8.24%,6.93%
DIIs +,21.29%,25.50%,21.58%,22.84%,26.00%,27.41%,30.56%,28.31%,29.46%
Public +,18.96%,15.35%,14.32%,14.96%,15.71%,12.97%,13.42%,13.28%,13.45%
No. of Shareholders,"1,12,311","1,14,023","1,22,956","1,77,633","2,23,608","2,02,543","2,31,072","2,23,136","2,34,080"
