,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,48.95%,48.95%,48.93%,48.90%,45.43%,45.43%,45.61%,50.29%,51.61%
FIIs +,0.73%,2.16%,2.43%,1.69%,0.64%,1.66%,2.36%,5.13%,5.38%
DIIs +,0.09%,0.62%,1.64%,2.76%,0.01%,0.00%,0.48%,2.12%,4.62%
Public +,50.23%,48.27%,47.00%,46.65%,53.92%,52.91%,51.54%,42.47%,38.38%
No. of Shareholders,"22,764","70,038","82,778","1,06,031","2,41,043","3,42,971","2,80,985","4,36,700","4,45,768"
