,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,74.71%,72.51%,73.54%,73.58%,74.07%,74.26%,73.11%,73.15%,73.17%
FIIs +,3.28%,5.22%,5.14%,3.36%,3.50%,4.25%,4.06%,2.86%,3.40%
DIIs +,0.18%,3.17%,4.29%,6.46%,6.55%,6.67%,8.40%,9.81%,10.08%
Public +,21.83%,19.10%,17.03%,16.60%,15.88%,14.81%,14.43%,14.18%,13.35%
No. of Shareholders,"7,654","13,759","14,686","13,637","24,811","30,649","29,965","25,541","36,665"
