,Mar 2014,Mar 2015,Mar 2016,Mar 2017
Equity Capital,43,44,44,284
Reserves,606,794,"1,022","1,703"
Borrowing,"2,478","3,588","6,232","7,071"
Other Liabilities +,249,397,634,753
Total Liabilities,"3,377","4,823","7,933","9,812"
Fixed Assets +,23,24,30,36
CWIP,0,0,0,240
Investments,65,65,89,"2,150"
Other Assets +,"3,289","4,733","7,813","7,386"
Total Assets,"3,377","4,823","7,933","9,812"
