,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,22.93%,22.92%,23.14%,22.02%,17.76%,14.20%
FIIs +,20.06%,24.20%,22.13%,64.83%,63.22%,67.22%
DIIs +,1.34%,2.04%,3.57%,2.22%,8.34%,8.48%
Government +,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%
Public +,55.67%,50.84%,51.17%,10.94%,10.70%,10.08%
No. of Shareholders,"22,159","20,832","30,865","35,480","46,512","74,164"
