,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Cash from Operating Activity +,-347,-113,24,-199,94,-437,-294,974
Cash from Investing Activity +,-75,-93,-126,-73,-304,178,46,-556
Cash from Financing Activity +,468,364,-19,285,198,247,241,-322
Net Cash Flow,45,158,-121,13,-12,-12,-6,96
