,Mar 2014,Mar 2015,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Dec 2022,Dec 2023,Dec 2024
Cash from Operating Activity +,211,322,680,304,512,708,"1,027",539,"1,051","1,118","1,383",881
Cash from Investing Activity +,-88,-184,-225,-831,-303,"-1,017",-589,-422,-762,-637,-905,-237
Cash from Financing Activity +,-116,-294,-494,575,-236,362,-404,-38,-363,-488,-427,-553
Net Cash Flow,7,-155,-39,48,-26,53,34,80,-74,-6,51,91
