,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%
FIIs +,16.24%,13.01%,9.49%,8.96%,8.98%,9.21%,10.56%,8.87%,6.87%
DIIs +,1.63%,3.85%,7.15%,7.21%,4.05%,4.18%,3.61%,6.50%,10.45%
Public +,7.13%,8.14%,8.36%,8.83%,11.97%,11.61%,10.83%,9.62%,7.67%
No. of Shareholders,"28,916","31,243","46,452","57,324","1,10,730","1,13,478","1,19,971","1,00,803","1,03,912"
