,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Debtor Days,24,71,47,31,59
Inventory Days,10,4,1,4,3
Days Payable,223,154,94,70,111
Cash Conversion Cycle,-189,-79,-46,-35,-48
Working Capital Days,-38,25,24,10,62
ROCE %,,-48%,-37%,-24%,-29%
