,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Promoters +,73.33%,73.33%,73.33%,73.33%,73.33%,73.33%,73.33%,73.33%,73.33%,73.33%,73.33%,73.33%
FIIs +,2.71%,2.78%,2.83%,2.93%,3.02%,3.18%,3.81%,4.12%,4.35%,4.44%,4.24%,4.29%
DIIs +,6.45%,6.20%,6.11%,6.35%,6.58%,6.77%,6.63%,6.67%,5.97%,6.27%,6.24%,6.30%
Public +,17.50%,17.69%,17.72%,17.37%,17.07%,16.72%,16.21%,15.87%,16.34%,15.94%,16.19%,16.07%
No. of Shareholders,"55,447","54,521","55,430","54,683","53,883","52,119","51,068","48,219","50,412","54,552","61,747","61,334"
