,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Debtor Days,4,4,3,4,5,5,9,9,9,10,14,16
Inventory Days,,,,,,,,,,,,
Days Payable,,,,,,,,,,,,
Cash Conversion Cycle,4,4,3,4,5,5,9,9,9,10,14,16
Working Capital Days,-15,-37,-15,5,5,168,-25,-32,-26,-15,-4,6
ROCE %,19%,18%,16%,14%,15%,16%,13%,7%,13%,14%,14%,14%
