,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Promoters +,84.91%,84.91%,84.89%,84.87%,74.99%,74.99%,74.98%,74.97%,74.97%,74.97%,74.95%,74.95%
FIIs +,3.35%,3.35%,3.41%,3.41%,6.27%,6.68%,7.75%,8.13%,9.04%,9.53%,10.54%,10.14%
DIIs +,9.94%,9.74%,9.71%,9.88%,15.57%,14.88%,13.73%,12.64%,11.89%,11.57%,10.38%,10.59%
Public +,1.81%,2.00%,1.99%,1.83%,3.16%,3.46%,3.55%,4.27%,4.09%,3.93%,4.13%,4.31%
No. of Shareholders,"51,892","57,587","63,439","61,207","68,261","74,737","74,379","92,083","83,644","75,719","71,971","73,545"
